year,hospital,oshpd_id,zip,county,city,procedure_code,cpt_group,description,charge_column,setting,charge_numeric
2024,Alameda Hospital,106010735,94501,Alameda,Alameda,99213,E&M,OFFICE VISIT,Charge,ALL,250
2024,Alameda Hospital,106010735,94501,Alameda,Alameda,70553,Imaging,MRI BRAIN,Charge,ALL,4500
2024,Cedars-Sinai Medical Center,106011070,90048,Los Angeles,Los Angeles,99213,E&M,OFFICE VISIT,Charge,ALL,380
2024,Cedars-Sinai Medical Center,106011070,90048,Los Angeles,Los Angeles,70553,Imaging,MRI BRAIN,Charge,ALL,7800
2024,UCSF Medical Center,106010868,94143,San Francisco,San Francisco,99213,E&M,OFFICE VISIT,Charge,ALL,420
2024,UCSF Medical Center,106010868,94143,San Francisco,San Francisco,70553,Imaging,MRI BRAIN,Charge,ALL,6200
2024,Cedars-Sinai Medical Center,106011070,90048,Los Angeles,Los Angeles,59400,OB,OB DELIVERY,Charge,IP,18500
2024,UCSF Medical Center,106010868,94143,San Francisco,San Francisco,59400,OB,OB DELIVERY,Charge,IP,15000
2024,Alameda Hospital,106010735,94501,Alameda,Alameda,99285,E&M,ED VISIT LEVEL 5,Charge,ED,2500
2024,Cedars-Sinai Medical Center,106011070,90048,Los Angeles,Los Angeles,99285,E&M,ED VISIT LEVEL 5,Charge,ED,4200
